Identificação;Mês;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
1589;Janeiro;MEIA MALHA 100% POLIESTER - PEROLA;KG;15,35;21,4397;329,1;34,66;532,1;38,15
1587;Janeiro;MEIA MALHA 100% POLIESTER - PETROLEO;KG;69,18;27,1802;1.880,33;33,65;2.328,20;19,24
1579;Janeiro;MEIA MALHA 100% POLIESTER - PINK;KG;5,6;21,191;118,67;39,98;223,91;47
1563;Janeiro;MEIA MALHA 100% POLIESTER - PRETO;KG;255,03;21,6785;5.528,69;34,82;8.880,01;37,74
1646;Janeiro;MEIA MALHA 100% POLIESTER - ROSA BEBE;KG;24,98;21,1985;529,54;34,06;850,89;37,77
1647;Janeiro;MEIA MALHA 100% POLIESTER - ROYAL CLARO;KG;2,26;17,0398;38,51;18,75;42,38;9,13
1578;Janeiro;MEIA MALHA 100% POLIESTER - VERDE FOLHA;KG;333,17;23,4599;7.816,15;31,9;10.628,20;26,46
23;Janeiro;M/M 100% ALGODAO PENTEADA - AZ MARINHO;KG;3,15;26,7714;84,33;43,95;138,44;39,09
1326;Janeiro;M/M 100% ALGODAO PENTEADA - BRANCO;KG;73,07;22,9198;1.674,75;41,43;3.027,44;44,68
179;Janeiro;M/M 100% ALGODAO PENTEADA - PRETA;KG;29,81;26,8299;799,8;47,2;1.407,00;43,16
1551;Janeiro;MM 96% POLIESTER/4% ELASTANO - BRANCO;KG;52,47;26,5902;1.395,19;38,43;2.016,62;30,82
1475;Janeiro;M/M PIQUET 50%POL/50%ALG - AZ MOTORISTA;KG;84,58;27,9;2.359,79;44,13;3.732,72;36,78
1465;Janeiro;M/M PIQUET 50%POL/50%ALG - AZUL MARINHO;KG;189,35;27,84;5.271,51;48,07;9.102,01;42,08
1491;Janeiro;M/M PIQUET 50%POL/50%ALG - AZUL ROYAL;KG;116,45;29,6298;3.450,40;49,02;5.708,65;39,56
